Time,Players,LFMs
24-6-2020T11:00,298.44,2.89
24-6-2020T12:00,563.66,9.75
24-6-2020T13:00,666.00,10.85
24-6-2020T14:00,739.83,11.17
24-6-2020T15:00,775.91,14.25
24-6-2020T16:00,800.08,12.42
24-6-2020T17:00,798.5,15.08
24-6-2020T18:00,793.16,15.42
24-6-2020T19:00,801.33,17.58
24-6-2020T20:00,804.75,18.08
24-6-2020T21:00,782.66,14.75
24-6-2020T22:00,715.58,14.42
24-6-2020T23:00,569.16,11.08
25-6-2020T0:00,467,8.67
25-6-2020T1:00,375.83,7
25-6-2020T2:00,313.33,7.25
25-6-2020T3:00,281.91,8.17
25-6-2020T4:00,249.25,6.67
25-6-2020T5:00,247.16,7.33
25-6-2020T6:00,293.16,6.58
25-6-2020T7:00,337.83,7.42
25-6-2020T8:00,396.83,8.83
25-6-2020T9:00,503.41,7.67
25-6-2020T10:00,557.33,11.08
25-6-2020T11:00,600.16,9.42
25-6-2020T12:00,625.08,13.42
25-6-2020T13:00,664.75,13.17
25-6-2020T14:00,655.41,13.92
25-6-2020T15:00,711.08,12.17
25-6-2020T16:00,719.91,13.33
25-6-2020T17:00,741.41,18.25
25-6-2020T18:00,701.58,17.5
25-6-2020T19:00,718.25,14.42
25-6-2020T20:00,735.25,15.25
25-6-2020T21:00,720.17,20.25
25-6-2020T22:00,676.08,14.08
25-6-2020T23:00,582.17,12.17
26-6-2020T0:00,451.75,10.08
26-6-2020T1:00,386.00,4.92
26-6-2020T2:00,329.33,9.75
26-6-2020T3:00,288.17,8.42
26-6-2020T4:00,262.83,8.33
26-6-2020T5:00,264.08,8.50
26-6-2020T6:00,292.75,8.75
26-6-2020T7:00,340.92,8.75
26-6-2020T8:00,405.75,9.75
26-6-2020T9:00,484.17,14.67
26-6-2020T10:00,536.33,10.67
26-6-2020T11:00,581.50,14.42
26-6-2020T12:00,592.92,11.25
26-6-2020T13:00,660.42,15.25
26-6-2020T14:00,700.00,14.75
26-6-2020T15:00,737.00,18.17
26-6-2020T16:00,749.83,21.58
26-6-2020T17:00,746.17,20.83
26-6-2020T18:00,726.25,18.25
26-6-2020T19:00,721.50,17.25
26-6-2020T20:00,755.58,14.42
26-6-2020T21:00,801.17,15.83
26-6-2020T22:00,774.33,15.92
26-6-2020T23:00,647.42,13.17
27-6-2020T0:00,502.50,11.67
27-6-2020T1:00,395.83,11.83
27-6-2020T2:00,342.17,10.92
27-6-2020T3:00,314.25,8.00
27-6-2020T4:00,286.00,8.42
27-6-2020T5:00,298.50,7.25
27-6-2020T6:00,361.00,10.25
27-6-2020T7:00,425.75,12.42
27-6-2020T8:00,507.67,12.50
27-6-2020T9:00,596.58,15.42
27-6-2020T10:00,674.50,17.42
27-6-2020T11:00,746.08,21.17
27-6-2020T12:00,776.08,16.83
27-6-2020T13:00,804.75,18.67
27-6-2020T14:00,865.50,22.33
27-6-2020T15:00,909.33,21.92
27-6-2020T16:00,891.17,20.83
27-6-2020T17:00,827.33,21.83
27-6-2020T18:00,764.83,19.50
27-6-2020T19:00,748.33,15.50
27-6-2020T20:00,761.75,15.83
27-6-2020T21:00,770.67,19.17
27-6-2020T22:00,745.17,13.83
27-6-2020T23:00,660.75,16.00
28-6-2020T0:00,555.92,13.50
28-6-2020T1:00,437.42,15.75
28-6-2020T2:00,348.92,10.67
28-6-2020T3:00,313.33,11.42
28-6-2020T4:00,302.42,9.58
28-6-2020T5:00,323.75,13.25
28-6-2020T6:00,370.75,17.50
28-6-2020T7:00,418.83,10.08
28-6-2020T8:00,504.67,12.83
28-6-2020T9:00,598.25,15.33
28-6-2020T10:00,681.08,18.92
28-6-2020T11:00,748.50,18.33
28-6-2020T12:00,785.83,22.25
28-6-2020T13:00,822.00,22.83
28-6-2020T14:00,858.50,16.92
28-6-2020T15:00,922.67,17.50
28-6-2020T16:00,930.75,19.00
28-6-2020T17:00,858.50,21.25
28-6-2020T18:00,794.25,15.58
28-6-2020T19:00,764.42,20.33
28-6-2020T20:00,746.42,20.33
28-6-2020T21:00,701.08,17.58
28-6-2020T22:00,619.42,18.17
28-6-2020T23:00,524.67,16.08
29-6-2020T0:00,436.83,13.50
29-6-2020T1:00,347.50,14.75
29-6-2020T2:00,287.83,10.00
29-6-2020T3:00,253.67,9.08
29-6-2020T4:00,228.08,6.67
29-6-2020T5:00,230.00,7.33
29-6-2020T6:00,257.33,8.08
29-6-2020T7:00,313.50,10.33
29-6-2020T8:00,401.92,14.33
29-6-2020T9:00,463.42,16.92
29-6-2020T10:00,491.67,14.75
29-6-2020T11:00,539.50,15.67
29-6-2020T12:00,590.00,14.92
29-6-2020T13:00,642.75,14.75
29-6-2020T14:00,667.25,16.08
29-6-2020T15:00,666.50,17.58
29-6-2020T16:00,674.33,16.67
29-6-2020T17:00,690.67,21.50
29-6-2020T18:00,697.83,17.25
29-6-2020T19:00,704.75,17.33
29-6-2020T20:00,722.58,17.92
29-6-2020T21:00,692.00,15.92
29-6-2020T22:00,602.00,14.58
29-6-2020T23:00,485.67,19.92
30-6-2020T0:00,380.00,13.50
30-6-2020T1:00,294.75,13.50
30-6-2020T2:00,244.00,9.75
30-6-2020T3:00,254.17,9.00
30-6-2020T4:00,246.83,9.83
30-6-2020T5:00,246.25,9.00
30-6-2020T6:00,222.42,6.75
30-6-2020T7:00,3.83,0.17
30-6-2020T8:00,0.00,0.00
30-6-2020T9:00,0.00,0.00
30-6-2020T10:00,0.00,0.00
30-6-2020T11:00,513.58,22.00
30-6-2020T12:00,568.75,16.75
30-6-2020T13:00,615.00,16.17
30-6-2020T14:00,628.92,18.83
30-6-2020T15:00,657.25,24.75
30-6-2020T16:00,650.58,27.50
30-6-2020T17:00,647.08,23.25
30-6-2020T18:00,682.50,27.92
30-6-2020T19:00,708.25,24.42
30-6-2020T20:00,728.33,15.58
30-6-2020T21:00,686.67,20.50
30-6-2020T22:00,621.00,19.08
30-6-2020T23:00,500.83,15.75
1-7-2020T0:00,413.58,17.58
1-7-2020T1:00,335.67,13.25
1-7-2020T2:00,284.08,11.42
1-7-2020T3:00,258.33,11.58
1-7-2020T4:00,233.67,13.33
1-7-2020T5:00,243.17,14.58
1-7-2020T6:00,274.17,9.67
1-7-2020T7:00,314.75,10.08
1-7-2020T8:00,376.08,12.33
1-7-2020T9:00,450.75,14.58
1-7-2020T10:00,486.83,13.92
1-7-2020T11:00,521.08,15.08
1-7-2020T12:00,548.42,19.17
1-7-2020T13:00,604.67,21.25
1-7-2020T14:00,624.92,19.75
1-7-2020T15:00,658.08,23.50
1-7-2020T16:00,649.25,23.92
1-7-2020T17:00,654.00,20.92
1-7-2020T18:00,648.83,25.08
1-7-2020T19:00,700.25,28.33
1-7-2020T20:00,710.33,23.67
1-7-2020T21:00,692.00,22.83
1-7-2020T22:00,592.17,14.17
1-7-2020T23:00,499.33,18.00
2-7-2020T0:00,397.08,17.83
2-7-2020T1:00,318.33,17.00
2-7-2020T2:00,288.17,9.92
2-7-2020T3:00,253.67,9.33
2-7-2020T4:00,240.83,9.83
2-7-2020T5:00,230.33,8.00
2-7-2020T6:00,259.75,9.92
2-7-2020T7:00,313.42,10.92
2-7-2020T8:00,379.83,15.58
2-7-2020T9:00,422.25,19.42
2-7-2020T10:00,465.50,18.75
2-7-2020T11:00,488.08,18.42
2-7-2020T12:00,524.75,19.08
2-7-2020T13:00,592.00,20.83
2-7-2020T14:00,649.67,21.42
2-7-2020T15:00,666.08,23.83
2-7-2020T16:00,664.00,21.58
2-7-2020T17:00,649.83,26.75
2-7-2020T18:00,645.25,22.00
2-7-2020T19:00,665.25,25.92
2-7-2020T20:00,706.17,23.33
2-7-2020T21:00,707.08,16.17
2-7-2020T22:00,643.92,17.67
2-7-2020T23:00,541.42,15.33
3-7-2020T0:00,452.17,19.50
3-7-2020T1:00,354.75,15.00
3-7-2020T2:00,301.42,11.08
3-7-2020T3:00,244.83,11.00
3-7-2020T4:00,233.42,7.58
3-7-2020T5:00,234.17,9.50
3-7-2020T6:00,269.00,13.17
3-7-2020T7:00,333.17,15.17
3-7-2020T8:00,424.42,13.50
3-7-2020T9:00,499.92,14.92
3-7-2020T10:00,581.00,15.75
3-7-2020T11:00,602.92,21.58
3-7-2020T12:00,626.08,21.42
3-7-2020T13:00,641.00,26.83
3-7-2020T14:00,640.92,23.33
3-7-2020T15:00,711.67,22.17
3-7-2020T16:00,731.25,26.92
3-7-2020T17:00,691.08,24.00
3-7-2020T18:00,673.17,17.50
3-7-2020T19:00,657.75,21.67
3-7-2020T20:00,668.33,23.50
3-7-2020T21:00,679.92,15.92
3-7-2020T22:00,658.00,19.25
3-7-2020T23:00,573.33,17.25
4-7-2020T0:00,471.50,19.42
4-7-2020T1:00,391.33,14.50
4-7-2020T2:00,344.50,14.50
4-7-2020T3:00,302.75,14.58
4-7-2020T4:00,279.67,15.17
4-7-2020T5:00,271.17,12.75
4-7-2020T6:00,314.00,13.42
4-7-2020T7:00,415.83,15.08
4-7-2020T8:00,503.83,23.00
4-7-2020T9:00,531.17,24.75
4-7-2020T10:00,572.92,19.00
4-7-2020T11:00,638.33,23.67
4-7-2020T12:00,678.58,21.75
4-7-2020T13:00,709.33,26.42
4-7-2020T14:00,716.33,25.58
4-7-2020T15:00,694.00,22.92
4-7-2020T16:00,679.33,21.58
4-7-2020T17:00,646.50,21.00
4-7-2020T18:00,642.33,25.83
4-7-2020T19:00,642.08,27.08
4-7-2020T20:00,626.83,23.00
4-7-2020T21:00,611.50,19.92
4-7-2020T22:00,587.50,24.58
4-7-2020T23:00,536.50,21.42
5-7-2020T0:00,494.75,15.25
5-7-2020T1:00,422.83,16.67
5-7-2020T2:00,332.83,18.08
5-7-2020T3:00,258.83,14.00
5-7-2020T4:00,220.08,13.50
5-7-2020T5:00,229.58,14.08
5-7-2020T6:00,277.08,16.50
5-7-2020T7:00,358.08,14.75
5-7-2020T8:00,466.58,21.67
5-7-2020T9:00,547.25,21.08
5-7-2020T10:00,586.83,19.67
5-7-2020T11:00,634.08,21.33
5-7-2020T12:00,657.17,21.17
5-7-2020T13:00,719.08,24.17
5-7-2020T14:00,744.00,24.75
5-7-2020T15:00,783.33,27.00
5-7-2020T16:00,741.00,27.33
5-7-2020T17:00,672.83,26.75
5-7-2020T18:00,660.50,21.42
5-7-2020T19:00,688.17,18.67
5-7-2020T20:00,682.00,23.00
5-7-2020T21:00,643.08,19.42
5-7-2020T22:00,560.17,16.25
5-7-2020T23:00,487.33,13.50
6-7-2020T0:00,387.67,15.33
6-7-2020T1:00,319.00,8.75
6-7-2020T2:00,261.17,12.08
6-7-2020T3:00,244.50,13.25
6-7-2020T4:00,226.75,12.83
6-7-2020T5:00,228.17,10.92
6-7-2020T6:00,261.08,12.17
6-7-2020T7:00,326.83,12.83
6-7-2020T8:00,374.50,16.42
6-7-2020T9:00,394.25,19.25
6-7-2020T10:00,430.50,18.17
6-7-2020T11:00,457.75,18.92
6-7-2020T12:00,503.08,17.83
6-7-2020T13:00,539.42,15.58
6-7-2020T14:00,563.25,24.17
6-7-2020T15:00,543.42,20.67
6-7-2020T16:00,536.33,19.92
6-7-2020T17:00,566.08,23.08
6-7-2020T18:00,596.75,27.00
6-7-2020T19:00,650.17,21.58
6-7-2020T20:00,650.25,20.67
6-7-2020T21:00,637.17,24.50
6-7-2020T22:00,540.75,24.08
6-7-2020T23:00,452.50,17.50
7-7-2020T0:00,371.50,16.25
7-7-2020T1:00,304.58,16.08
7-7-2020T2:00,244.42,9.08
7-7-2020T3:00,219.08,8.67
7-7-2020T4:00,217.58,11.00
7-7-2020T5:00,207.00,9.83
7-7-2020T6:00,228.17,12.67
7-7-2020T7:00,272.08,13.17
7-7-2020T8:00,234.25,9.42
7-7-2020T9:00,275.92,11.25
7-7-2020T10:00,408.67,19.75
7-7-2020T11:00,438.83,18.42
7-7-2020T12:00,462.00,19.00
7-7-2020T13:00,516.25,20.08
7-7-2020T14:00,572.92,24.75
7-7-2020T15:00,567.33,22.42
7-7-2020T16:00,563.17,25.42
7-7-2020T17:00,581.50,24.58
7-7-2020T18:00,619.25,26.00
7-7-2020T19:00,660.75,26.25
7-7-2020T20:00,651.92,26.83
7-7-2020T21:00,615.50,27.17
7-7-2020T22:00,504.83,21.75
7-7-2020T23:00,402.33,17.92
8-7-2020T0:00,323.58,12.33
8-7-2020T1:00,280.50,14.58
8-7-2020T2:00,226.50,10.42
8-7-2020T3:00,217.08,15.17
8-7-2020T4:00,208.83,13.25
8-7-2020T5:00,210.00,11.42
8-7-2020T6:00,229.00,12.00
8-7-2020T7:00,213.17,11.75
8-7-2020T8:00,4.67,0.08
8-7-2020T9:00,0.00,0.00
8-7-2020T10:00,247.86,14.29
8-7-2020T11:00,422.83,21.58
8-7-2020T12:00,461.50,21.58
8-7-2020T13:00,496.33,21.33
8-7-2020T14:00,532.92,22.75
8-7-2020T15:00,567.17,22.83
8-7-2020T16:00,554.25,19.75
8-7-2020T17:00,553.50,19.33
8-7-2020T18:00,556.92,26.42
8-7-2020T19:00,588.17,28.75
8-7-2020T20:00,629.50,26.58
8-7-2020T21:00,584.92,29.25
8-7-2020T22:00,516.50,24.50
8-7-2020T23:00,442.92,21.50
9-7-2020T0:00,357.17,17.25
9-7-2020T1:00,261.58,15.92
9-7-2020T2:00,209.17,10.83
9-7-2020T3:00,202.33,10.00
9-7-2020T4:00,183.17,10.42
9-7-2020T5:00,173.08,12.00
9-7-2020T6:00,230.08,12.58
9-7-2020T7:00,282.00,15.58
9-7-2020T8:00,325.92,19.33
9-7-2020T9:00,366.83,21.67
9-7-2020T10:00,388.67,21.08
9-7-2020T11:00,423.67,20.75
9-7-2020T12:00,434.75,17.17
9-7-2020T13:00,474.25,20.83
9-7-2020T14:00,517.75,23.25
9-7-2020T15:00,537.33,18.58
9-7-2020T16:00,547.17,21.83
9-7-2020T17:00,530.82,19.82
9-7-2020T18:00,549.00,23.50
9-7-2020T19:00,569.50,26.25
9-7-2020T20:00,605.17,26.75
9-7-2020T21:00,589.75,23.58
9-7-2020T22:00,509.75,19.08
9-7-2020T23:00,446.00,16.33
10-7-2020T0:00,349.83,13.00
10-7-2020T1:00,278.50,12.42
10-7-2020T2:00,238.83,12.25
10-7-2020T3:00,207.33,10.42
10-7-2020T4:00,185.00,10.25
10-7-2020T5:00,188.50,12.17
10-7-2020T6:00,224.75,13.17
10-7-2020T7:00,280.75,14.17
10-7-2020T8:00,329.25,19.58
10-7-2020T9:00,365.17,18.67
10-7-2020T10:00,395.50,20.75
10-7-2020T11:00,418.50,18.17
10-7-2020T12:00,480.17,22.17
10-7-2020T13:00,480.50,18.00
10-7-2020T14:00,546.83,20.08
10-7-2020T15:00,555.25,21.08
10-7-2020T16:00,559.42,21.08
10-7-2020T17:00,537.50,21.42
10-7-2020T18:00,559.75,24.00
10-7-2020T19:00,580.33,19.67
10-7-2020T20:00,606.58,20.92
10-7-2020T21:00,593.75,26.25
10-7-2020T22:00,552.00,20.17
10-7-2020T23:00,494.75,19.92
11-7-2020T0:00,424.08,18.17
11-7-2020T1:00,334.17,14.67
11-7-2020T2:00,253.33,9.25
11-7-2020T3:00,232.42,8.92
11-7-2020T4:00,219.25,13.75
11-7-2020T5:00,216.50,12.50
11-7-2020T6:00,257.08,12.17
11-7-2020T7:00,305.67,15.42
11-7-2020T8:00,386.92,15.33
11-7-2020T9:00,450.83,16.58
11-7-2020T10:00,501.50,18.42
11-7-2020T11:00,545.58,20.75
11-7-2020T12:00,588.67,23.83
11-7-2020T13:00,593.25,23.25
11-7-2020T14:00,608.08,25.17
11-7-2020T15:00,620.42,26.75
11-7-2020T16:00,590.25,21.75
11-7-2020T17:00,591.58,21.33
11-7-2020T18:00,619.58,24.92
11-7-2020T19:00,620.67,21.75
11-7-2020T20:00,609.92,24.75
11-7-2020T21:00,613.00,23.58
11-7-2020T22:00,592.92,24.00
11-7-2020T23:00,520.25,19.00
12-7-2020T0:00,423.25,14.58
12-7-2020T1:00,340.50,13.17
12-7-2020T2:00,277.08,10.00
12-7-2020T3:00,253.42,10.25
12-7-2020T4:00,258.33,10.58
12-7-2020T5:00,255.08,12.92
12-7-2020T6:00,280.92,14.67
12-7-2020T7:00,331.92,14.67
12-7-2020T8:00,388.50,16.75
12-7-2020T9:00,461.08,19.25
12-7-2020T10:00,536.92,21.08
12-7-2020T11:00,570.83,21.83
12-7-2020T12:00,614.00,27.00
12-7-2020T13:00,658.50,21.58
12-7-2020T14:00,675.25,24.83
12-7-2020T15:00,704.42,29.33
12-7-2020T16:00,702.50,25.25
12-7-2020T17:00,613.33,27.83
12-7-2020T18:00,587.33,23.83
12-7-2020T19:00,591.75,25.92
12-7-2020T20:00,578.00,25.83
12-7-2020T21:00,537.08,25.17
12-7-2020T22:00,454.42,18.92
12-7-2020T23:00,399.75,14.17
13-7-2020T0:00,332.67,13.42
13-7-2020T1:00,268.17,13.67
13-7-2020T2:00,202.00,8.92
13-7-2020T3:00,185.17,9.00
13-7-2020T4:00,178.33,9.75
13-7-2020T5:00,187.67,11.17
13-7-2020T6:00,224.42,11.42
13-7-2020T7:00,263.08,9.25
13-7-2020T8:00,309.58,19.92
13-7-2020T9:00,339.67,12.25
13-7-2020T10:00,362.58,14.67
13-7-2020T11:00,400.33,17.92
13-7-2020T12:00,423.83,16.17
13-7-2020T13:00,465.17,19.17
13-7-2020T14:00,507.42,24.42
13-7-2020T15:00,515.75,20.33
13-7-2020T16:00,516.42,22.17
13-7-2020T17:00,510.17,19.92
13-7-2020T18:00,531.33,21.83
13-7-2020T19:00,599.25,24.08
13-7-2020T20:00,605.33,25.25
13-7-2020T21:00,579.25,27.83
13-7-2020T22:00,513.83,24.67
13-7-2020T23:00,412.75,17.33
14-7-2020T0:00,298.33,14.50
14-7-2020T1:00,246.17,10.67
14-7-2020T2:00,192.17,12.33
14-7-2020T3:00,176.67,11.75
14-7-2020T4:00,167.58,12.17
14-7-2020T5:00,197.08,10.42
14-7-2020T6:00,219.67,10.25
14-7-2020T7:00,238.50,11.58
14-7-2020T8:00,273.33,12.17
14-7-2020T9:00,341.67,15.42
14-7-2020T10:00,376.58,15.00
14-7-2020T11:00,384.67,16.58
14-7-2020T12:00,404.08,20.00
14-7-2020T13:00,460.17,21.75
14-7-2020T14:00,466.67,21.33
14-7-2020T15:00,497.17,21.42
14-7-2020T16:00,488.00,21.25
14-7-2020T17:00,471.75,19.33
14-7-2020T18:00,509.75,21.92
14-7-2020T19:00,542.75,25.75
14-7-2020T20:00,570.00,28.00
14-7-2020T21:00,527.75,25.08
14-7-2020T22:00,470.75,26.33
14-7-2020T23:00,378.08,16.92
15-7-2020T0:00,284.92,13.33
15-7-2020T1:00,219.92,11.17
15-7-2020T2:00,183.50,10.42
15-7-2020T3:00,174.67,8.25
15-7-2020T4:00,154.17,10.58
15-7-2020T5:00,172.00,9.08
15-7-2020T6:00,187.42,11.50
15-7-2020T7:00,196.67,11.75
15-7-2020T8:00,5.17,0.33
15-7-2020T9:00,187.00,12.33
15-7-2020T10:00,329.58,14.42
15-7-2020T11:00,369.50,17.67
15-7-2020T12:00,367.92,13.92
15-7-2020T13:00,401.08,19.08
15-7-2020T14:00,446.17,19.83
15-7-2020T15:00,466.58,22.25
15-7-2020T16:00,480.67,22.00
15-7-2020T17:00,315.82,13.55
15-7-2020T18:00,0.00,0.00
15-7-2020T19:00,221.50,8.67
15-7-2020T20:00,476.58,22.08
15-7-2020T21:00,481.08,23.08
15-7-2020T22:00,423.75,20.17
15-7-2020T23:00,370.83,19.00
16-7-2020T0:00,301.00,14.25
16-7-2020T1:00,241.58,9.75
16-7-2020T2:00,204.17,8.75
16-7-2020T3:00,25.83,1.17
16-7-2020T4:00,0.00,0.00
16-7-2020T5:00,0.00,0.00
16-7-2020T6:00,0.00,0.00
16-7-2020T7:00,0.00,0.00
16-7-2020T8:00,0.00,0.00
16-7-2020T9:00,297.91,12.36
16-7-2020T10:00,339.67,16.83
16-7-2020T11:00,360.83,15.67
16-7-2020T12:00,407.42,19.67
16-7-2020T13:00,424.50,17.75
16-7-2020T14:00,439.08,14.33
16-7-2020T15:00,387.67,13.58
16-7-2020T16:00,423.25,16.17
16-7-2020T17:00,438.58,21.00
16-7-2020T18:00,332.67,17.42
16-7-2020T19:00,404.33,24.42
16-7-2020T20:00,36.58,1.75
16-7-2020T21:00,0.00,0.00
16-7-2020T22:00,0.00,0.00
16-7-2020T23:00,0.00,0.00
17-7-2020T0:00,101.50,5.83
17-7-2020T1:00,204.83,11.58
17-7-2020T2:00,196.08,9.75
17-7-2020T3:00,188.17,12.08
17-7-2020T4:00,178.83,10.08
17-7-2020T5:00,181.58,13.08
17-7-2020T6:00,215.58,13.08
17-7-2020T7:00,254.00,11.50
17-7-2020T8:00,280.92,17.00
17-7-2020T9:00,330.00,16.67
17-7-2020T10:00,358.00,15.08
17-7-2020T11:00,381.00,16.58
17-7-2020T12:00,418.42,18.00
17-7-2020T13:00,442.92,21.33
17-7-2020T14:00,339.92,13.33
17-7-2020T15:00,161.50,5.25
17-7-2020T16:00,241.42,9.75
17-7-2020T17:00,337.25,18.83
17-7-2020T18:00,424.92,19.17
17-7-2020T19:00,470.58,16.92
17-7-2020T20:00,503.08,22.08
17-7-2020T21:00,504.83,21.83
17-7-2020T22:00,472.50,20.25
17-7-2020T23:00,392.67,18.50
18-7-2020T0:00,347.33,16.83
18-7-2020T1:00,287.08,13.25
18-7-2020T2:00,229.33,8.42
18-7-2020T3:00,192.75,7.75
18-7-2020T4:00,181.33,9.50
18-7-2020T5:00,192.58,11.42
18-7-2020T6:00,199.67,8.42
18-7-2020T7:00,227.25,10.58
18-7-2020T8:00,295.58,10.25
18-7-2020T9:00,376.17,13.75
18-7-2020T10:00,414.50,14.50
18-7-2020T11:00,434.83,18.17
18-7-2020T12:00,471.50,19.75
18-7-2020T13:00,473.50,16.58
18-7-2020T14:00,414.67,16.92
18-7-2020T15:00,450.00,18.50
18-7-2020T16:00,454.58,22.33
18-7-2020T17:00,457.92,20.50
18-7-2020T18:00,451.08,18.17
18-7-2020T19:00,433.08,19.75
18-7-2020T20:00,447.58,17.50
18-7-2020T21:00,444.75,18.67
18-7-2020T22:00,437.00,26.33
18-7-2020T23:00,375.33,18.92
19-7-2020T0:00,313.00,13.42
19-7-2020T1:00,261.50,11.00
19-7-2020T2:00,214.75,12.33
19-7-2020T3:00,194.42,13.75
19-7-2020T4:00,187.75,12.83
19-7-2020T5:00,204.17,12.92
19-7-2020T6:00,247.92,14.67
19-7-2020T7:00,294.75,11.58
19-7-2020T8:00,356.42,16.08
19-7-2020T9:00,399.67,22.08
19-7-2020T10:00,441.50,19.92
19-7-2020T11:00,456.50,18.50
19-7-2020T12:00,504.42,21.25
19-7-2020T13:00,572.17,24.75
19-7-2020T14:00,598.50,26.33
19-7-2020T15:00,556.83,24.25
19-7-2020T16:00,383.83,17.25
19-7-2020T17:00,374.75,19.50
19-7-2020T18:00,370.25,16.67
19-7-2020T19:00,351.25,15.25
19-7-2020T20:00,343.83,16.00
19-7-2020T21:00,334.00,15.00
19-7-2020T22:00,295.33,13.58
19-7-2020T23:00,259.42,9.25
20-7-2020T0:00,209.33,7.08
20-7-2020T1:00,159.58,8.83
20-7-2020T2:00,144.50,6.58
20-7-2020T3:00,130.50,11.00
20-7-2020T4:00,132.00,6.67
20-7-2020T5:00,153.75,6.08
20-7-2020T6:00,156.75,8.17
20-7-2020T7:00,180.67,14.92
20-7-2020T8:00,212.17,11.50
20-7-2020T9:00,248.50,11.75
20-7-2020T10:00,275.00,16.42
20-7-2020T11:00,297.75,15.00
20-7-2020T12:00,305.00,16.17
20-7-2020T13:00,303.83,16.58
20-7-2020T14:00,288.58,14.00
20-7-2020T15:00,209.50,12.33
20-7-2020T16:00,173.50,8.67
20-7-2020T17:00,150.00,5.92
20-7-2020T18:00,0.00,0.00
20-7-2020T19:00,234.91,10.18
20-7-2020T20:00,230.92,11.83
20-7-2020T21:00,291.17,15.33
20-7-2020T22:00,290.25,16.42
20-7-2020T23:00,249.42,17.75
21-7-2020T0:00,201.67,11.50
21-7-2020T1:00,180.58,10.67
21-7-2020T2:00,167.33,9.50
21-7-2020T3:00,153.17,7.33
21-7-2020T4:00,99.92,4.00
21-7-2020T5:00,100.92,6.00
21-7-2020T6:00,100.50,6.92
21-7-2020T7:00,119.42,6.33
21-7-2020T8:00,183.00,11.00
21-7-2020T9:00,229.67,14.33
21-7-2020T10:00,274.25,13.42
21-7-2020T11:00,281.58,14.50
21-7-2020T12:00,144.67,5.92
21-7-2020T13:00,179.83,11.92
21-7-2020T14:00,259.42,16.92
21-7-2020T15:00,300.42,16.33
21-7-2020T16:00,313.83,13.17
21-7-2020T17:00,334.50,12.75
21-7-2020T18:00,351.83,12.67
21-7-2020T19:00,389.75,14.67
21-7-2020T20:00,414.00,17.00
21-7-2020T21:00,409.08,19.58
21-7-2020T22:00,333.08,21.25
21-7-2020T23:00,280.83,17.75
22-7-2020T0:00,221.42,15.08
22-7-2020T1:00,174.83,9.83
22-7-2020T2:00,151.67,8.75
22-7-2020T3:00,142.50,11.25
22-7-2020T4:00,127.75,8.08
22-7-2020T5:00,136.50,10.67
22-7-2020T6:00,143.08,10.67
22-7-2020T7:00,173.92,10.08
22-7-2020T8:00,216.00,11.50
22-7-2020T9:00,242.25,15.50
22-7-2020T10:00,255.17,13.83
22-7-2020T11:00,283.58,11.33
22-7-2020T12:00,217.75,8.17
22-7-2020T13:00,139.08,9.00
22-7-2020T14:00,210.83,13.42
22-7-2020T15:00,285.58,15.08
22-7-2020T16:00,318.08,15.83
22-7-2020T17:00,344.08,19.67
22-7-2020T18:00,365.92,20.00
22-7-2020T19:00,364.00,16.00
22-7-2020T20:00,383.00,13.58
22-7-2020T21:00,394.75,17.08
22-7-2020T22:00,321.75,16.17
22-7-2020T23:00,261.33,15.33
23-7-2020T0:00,221.58,12.08
23-7-2020T1:00,191.25,12.50
23-7-2020T2:00,149.75,10.67
23-7-2020T3:00,135.50,8.92
23-7-2020T4:00,122.75,11.58
23-7-2020T5:00,135.42,12.83
23-7-2020T6:00,147.92,8.17
23-7-2020T7:00,149.58,7.58
23-7-2020T8:00,3.33,0.33
23-7-2020T9:00,109.57,4.14
23-7-2020T10:00,239.83,15.83
23-7-2020T11:00,259.92,12.92
23-7-2020T12:00,271.50,15.00
23-7-2020T13:00,299.42,14.58
23-7-2020T14:00,322.25,11.58
23-7-2020T15:00,347.67,15.17
23-7-2020T16:00,350.08,13.67
23-7-2020T17:00,348.50,10.42
23-7-2020T18:00,383.08,17.58
23-7-2020T19:00,403.83,25.33
23-7-2020T20:00,419.33,20.83
23-7-2020T21:00,394.25,15.08
23-7-2020T22:00,327.42,18.75
23-7-2020T23:00,294.25,13.67
24-7-2020T0:00,250.67,10.92
24-7-2020T1:00,205.83,8.92
24-7-2020T2:00,155.92,4.08
24-7-2020T3:00,137.42,5.50
24-7-2020T4:00,133.33,6.92
24-7-2020T5:00,148.33,5.83
24-7-2020T6:00,175.58,7.42
24-7-2020T7:00,204.33,7.50
24-7-2020T8:00,239.75,11.67
24-7-2020T9:00,257.17,15.83
24-7-2020T10:00,297.17,17.25
24-7-2020T11:00,303.67,16.42
24-7-2020T12:00,325.08,19.42
24-7-2020T13:00,335.42,14.67
24-7-2020T14:00,354.50,14.25
24-7-2020T15:00,360.83,15.67
24-7-2020T16:00,350.50,13.08
24-7-2020T17:00,390.58,16.25
24-7-2020T18:00,421.75,16.33
24-7-2020T19:00,425.17,15.08
24-7-2020T20:00,425.25,23.00
24-7-2020T21:00,402.08,23.33
24-7-2020T22:00,366.25,20.42
24-7-2020T23:00,300.83,13.25
25-7-2020T0:00,259.67,15.25
25-7-2020T1:00,241.83,17.75
25-7-2020T2:00,207.00,13.83
